
=== fair metric: DP, acc: 0.8246451965065502, global :0.011497140328890904, avg_local: 0.017044523172724414
=== fair metric: DP, acc: 0.8238264192139738, global :0.008746907882251242, avg_local: 0.013311747549167186
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
=== fair metric: DP, acc: 0.8237581877729258, global :0.00823463337926486, avg_local: 0.012819302342840243
